#Site name:       ANX
#Abstract:        Tides and observed water level from Stavanger
#Provider:        Statens kartverk sjø (Norwegian Hydrographic Service)
#Latitude:        58.97433900
#Longitude:       5.73012100
#Datum:           EUREF89
#Time interval:   600 seconds
#Reference level: MSL (Mean Sea Level (1996-2014))
#Z0: 67.9 cm
#Start time:      2022-09-11T00:00:00+01:00
#End time:        2022-09-12T00:00:00+01:00
#Unit:            cm
#Series1:         Water level observations
2022-09-11T00:00:00+01:00    25.9
2022-09-11T00:10:00+01:00    24.0
2022-09-11T00:20:00+01:00    22.4
2022-09-11T00:30:00+01:00    20.9
2022-09-11T00:40:00+01:00    19.8
2022-09-11T00:50:00+01:00    19.0
2022-09-11T01:00:00+01:00    18.6
2022-09-11T01:10:00+01:00    18.2
2022-09-11T01:20:00+01:00    17.9
2022-09-11T01:30:00+01:00    17.4
2022-09-11T01:40:00+01:00    16.7
2022-09-11T01:50:00+01:00    15.7
2022-09-11T02:00:00+01:00    14.1
2022-09-11T02:10:00+01:00    11.9
2022-09-11T02:20:00+01:00     8.9
2022-09-11T02:30:00+01:00     5.3
2022-09-11T02:40:00+01:00     1.6
2022-09-11T02:50:00+01:00    -2.1
2022-09-11T03:00:00+01:00    -5.8
2022-09-11T03:10:00+01:00    -9.2
2022-09-11T03:20:00+01:00   -12.3
2022-09-11T03:30:00+01:00   -14.9
2022-09-11T03:40:00+01:00   -17.2
2022-09-11T03:50:00+01:00   -19.2
2022-09-11T04:00:00+01:00   -20.9
2022-09-11T04:10:00+01:00   -22.3
2022-09-11T04:20:00+01:00   -23.5
2022-09-11T04:30:00+01:00   -24.6
2022-09-11T04:40:00+01:00   -25.5
2022-09-11T04:50:00+01:00   -26.1
2022-09-11T05:00:00+01:00   -26.3
2022-09-11T05:10:00+01:00   -26.1
2022-09-11T05:20:00+01:00   -25.4
2022-09-11T05:30:00+01:00   -24.1
2022-09-11T05:40:00+01:00   -22.1
2022-09-11T05:50:00+01:00   -19.9
2022-09-11T06:00:00+01:00   -17.4
2022-09-11T06:10:00+01:00   -14.6
2022-09-11T06:20:00+01:00   -11.7
2022-09-11T06:30:00+01:00    -8.7
2022-09-11T06:40:00+01:00    -6.1
2022-09-11T06:50:00+01:00    -3.9
2022-09-11T07:00:00+01:00    -2.3
2022-09-11T07:10:00+01:00    -1.4
2022-09-11T07:20:00+01:00    -1.2
2022-09-11T07:30:00+01:00    -1.4
2022-09-11T07:40:00+01:00    -1.7
2022-09-11T07:50:00+01:00    -1.9
2022-09-11T08:00:00+01:00    -1.9
2022-09-11T08:10:00+01:00    -1.8
2022-09-11T08:20:00+01:00    -1.6
2022-09-11T08:30:00+01:00    -1.0
2022-09-11T08:40:00+01:00    -0.0
2022-09-11T08:50:00+01:00     1.4
2022-09-11T09:00:00+01:00     3.4
2022-09-11T09:10:00+01:00     5.8
2022-09-11T09:20:00+01:00     8.8
2022-09-11T09:30:00+01:00    12.0
2022-09-11T09:40:00+01:00    15.3
2022-09-11T09:50:00+01:00    19.1
2022-09-11T10:00:00+01:00    23.0
2022-09-11T10:10:00+01:00    26.8
2022-09-11T10:20:00+01:00    30.4
2022-09-11T10:30:00+01:00    33.5
2022-09-11T10:40:00+01:00    35.8
2022-09-11T10:50:00+01:00    37.2
2022-09-11T11:00:00+01:00    37.6
2022-09-11T11:10:00+01:00    36.9
2022-09-11T11:20:00+01:00    35.7
2022-09-11T11:30:00+01:00    34.0
2022-09-11T11:40:00+01:00    31.9
2022-09-11T11:50:00+01:00    29.3
2022-09-11T12:00:00+01:00    26.7
2022-09-11T12:10:00+01:00    24.4
2022-09-11T12:20:00+01:00    22.2
2022-09-11T12:30:00+01:00    20.4
2022-09-11T12:40:00+01:00    18.9
2022-09-11T12:50:00+01:00    17.6
2022-09-11T13:00:00+01:00    16.7
2022-09-11T13:10:00+01:00    16.0
2022-09-11T13:20:00+01:00    15.5
2022-09-11T13:30:00+01:00    15.3
2022-09-11T13:40:00+01:00    15.1
2022-09-11T13:50:00+01:00    15.0
2022-09-11T14:00:00+01:00    14.8
2022-09-11T14:10:00+01:00    14.3
2022-09-11T14:20:00+01:00    13.3
2022-09-11T14:30:00+01:00    11.5
2022-09-11T14:40:00+01:00     9.1
2022-09-11T14:50:00+01:00     6.1
2022-09-11T15:00:00+01:00     2.7
2022-09-11T15:10:00+01:00    -0.8
2022-09-11T15:20:00+01:00    -4.2
2022-09-11T15:30:00+01:00    -7.7
2022-09-11T15:40:00+01:00   -10.8
2022-09-11T15:50:00+01:00   -13.5
2022-09-11T16:00:00+01:00   -15.9
2022-09-11T16:10:00+01:00   -17.8
2022-09-11T16:20:00+01:00   -19.3
2022-09-11T16:30:00+01:00   -20.5
2022-09-11T16:40:00+01:00   -21.5
2022-09-11T16:50:00+01:00   -22.3
2022-09-11T17:00:00+01:00   -22.7
2022-09-11T17:10:00+01:00   -22.8
2022-09-11T17:20:00+01:00   -22.5
2022-09-11T17:30:00+01:00   -21.8
2022-09-11T17:40:00+01:00   -20.9
2022-09-11T17:50:00+01:00   -19.3
2022-09-11T18:00:00+01:00   -17.3
2022-09-11T18:10:00+01:00   -14.8
2022-09-11T18:20:00+01:00   -11.9
2022-09-11T18:30:00+01:00    -8.7
2022-09-11T18:40:00+01:00    -5.7
2022-09-11T18:50:00+01:00    -3.0
2022-09-11T19:00:00+01:00    -0.7
2022-09-11T19:10:00+01:00     1.1
2022-09-11T19:20:00+01:00     2.3
2022-09-11T19:30:00+01:00     3.1
2022-09-11T19:40:00+01:00     3.7
2022-09-11T19:50:00+01:00     4.3
2022-09-11T20:00:00+01:00     5.1
2022-09-11T20:10:00+01:00     5.9
2022-09-11T20:20:00+01:00     6.9
2022-09-11T20:30:00+01:00     7.9
2022-09-11T20:40:00+01:00     8.8
2022-09-11T20:50:00+01:00     9.9
2022-09-11T21:00:00+01:00    11.0
2022-09-11T21:10:00+01:00    12.7
2022-09-11T21:20:00+01:00    14.7
2022-09-11T21:30:00+01:00    17.0
2022-09-11T21:40:00+01:00    19.6
2022-09-11T21:50:00+01:00    22.4
2022-09-11T22:00:00+01:00    25.5
2022-09-11T22:10:00+01:00    28.6
2022-09-11T22:20:00+01:00    31.9
2022-09-11T22:30:00+01:00    35.2
2022-09-11T22:40:00+01:00    38.3
2022-09-11T22:50:00+01:00    41.1
2022-09-11T23:00:00+01:00    43.2
2022-09-11T23:10:00+01:00    44.5
2022-09-11T23:20:00+01:00    44.7
2022-09-11T23:30:00+01:00    43.7
2022-09-11T23:40:00+01:00    41.6
2022-09-11T23:50:00+01:00    38.8
2022-09-12T00:00:00+01:00    35.5
